,일시,최저기온,최고기온,날씨
0,2021-07-15 00:00,25,33,구름많음
0,2021-07-15 12:00,25,33,구름많음
0,2021-07-16 00:00,24,33,구름많음
0,2021-07-16 12:00,24,33,구름많고 소나기
0,2021-07-17 00:00,24,32,구름많음
0,2021-07-17 12:00,24,32,구름많음
0,2021-07-18 00:00,24,32,구름많음
0,2021-07-18 12:00,24,32,구름많음
0,2021-07-19 00:00,24,33,구름많음
0,2021-07-19 12:00,24,33,흐림
0,2021-07-20 00:00,24,33,흐림
0,2021-07-21 00:00,24,33,흐림
0,2021-07-22 00:00,24,32,흐림
0,2021-07-15 00:00,24,29,구름많음
0,2021-07-15 12:00,24,29,구름많음
0,2021-07-16 00:00,24,29,구름많음
0,2021-07-16 12:00,24,29,구름많고 소나기
0,2021-07-17 00:00,24,29,구름많음
0,2021-07-17 12:00,24,29,구름많음
0,2021-07-18 00:00,24,29,구름많음
0,2021-07-18 12:00,24,29,구름많음
0,2021-07-19 00:00,24,29,구름많음
0,2021-07-19 12:00,24,29,흐림
0,2021-07-20 00:00,24,30,흐림
0,2021-07-21 00:00,24,29,흐림
0,2021-07-22 00:00,24,29,흐림
0,2021-07-15 00:00,24,32,구름많음
0,2021-07-15 12:00,24,32,구름많음
0,2021-07-16 00:00,24,33,구름많음
0,2021-07-16 12:00,24,33,구름많고 소나기
0,2021-07-17 00:00,24,32,구름많음
0,2021-07-17 12:00,24,32,구름많음
0,2021-07-18 00:00,23,32,구름많음
0,2021-07-18 12:00,23,32,구름많음
0,2021-07-19 00:00,24,32,구름많음
0,2021-07-19 12:00,24,32,흐림
0,2021-07-20 00:00,24,33,흐림
0,2021-07-21 00:00,24,33,흐림
0,2021-07-22 00:00,24,32,흐림
0,2021-07-15 00:00,23,32,구름많음
0,2021-07-15 12:00,23,32,구름많음
0,2021-07-16 00:00,23,33,구름많음
0,2021-07-16 12:00,23,33,구름많고 소나기
0,2021-07-17 00:00,22,32,구름많음
0,2021-07-17 12:00,22,32,구름많음
0,2021-07-18 00:00,22,33,구름많음
0,2021-07-18 12:00,22,33,구름많음
0,2021-07-19 00:00,23,31,구름많음
0,2021-07-19 12:00,23,31,흐림
0,2021-07-20 00:00,23,32,흐림
0,2021-07-21 00:00,23,32,흐림
0,2021-07-22 00:00,23,32,흐림
0,2021-07-15 00:00,24,33,구름많음
0,2021-07-15 12:00,24,33,구름많음
0,2021-07-16 00:00,23,33,구름많음
0,2021-07-16 12:00,23,33,구름많고 소나기
0,2021-07-17 00:00,23,32,구름많음
0,2021-07-17 12:00,23,32,구름많음
0,2021-07-18 00:00,22,33,구름많음
0,2021-07-18 12:00,22,33,구름많음
0,2021-07-19 00:00,23,31,구름많음
0,2021-07-19 12:00,23,31,흐림
0,2021-07-20 00:00,23,32,흐림
0,2021-07-21 00:00,23,33,흐림
0,2021-07-22 00:00,23,32,흐림
0,2021-07-15 00:00,24,33,구름많음
0,2021-07-15 12:00,24,33,구름많음
0,2021-07-16 00:00,24,33,구름많음
0,2021-07-16 12:00,24,33,구름많고 소나기
0,2021-07-17 00:00,23,32,구름많음
0,2021-07-17 12:00,23,32,구름많음
0,2021-07-18 00:00,23,33,구름많음
0,2021-07-18 12:00,23,33,구름많음
0,2021-07-19 00:00,24,31,구름많음
0,2021-07-19 12:00,24,31,흐림
0,2021-07-20 00:00,24,32,흐림
0,2021-07-21 00:00,24,33,흐림
0,2021-07-22 00:00,23,33,흐림
0,2021-07-15 00:00,21,26,구름많음
0,2021-07-15 12:00,21,26,구름많음
0,2021-07-16 00:00,21,26,구름많음
0,2021-07-16 12:00,21,26,구름많고 소나기
0,2021-07-17 00:00,21,26,구름많음
0,2021-07-17 12:00,21,26,구름많음
0,2021-07-18 00:00,21,26,구름많음
0,2021-07-18 12:00,21,26,구름많음
0,2021-07-19 00:00,22,27,구름많음
0,2021-07-19 12:00,22,27,흐림
0,2021-07-20 00:00,22,27,흐림
0,2021-07-21 00:00,22,27,흐림
0,2021-07-22 00:00,22,27,흐림
0,2021-07-15 00:00,24,31,구름많음
0,2021-07-15 12:00,24,31,구름많음
0,2021-07-16 00:00,23,31,구름많음
0,2021-07-16 12:00,23,31,구름많고 소나기
0,2021-07-17 00:00,23,31,구름많음
0,2021-07-17 12:00,23,31,구름많음
0,2021-07-18 00:00,23,32,구름많음
0,2021-07-18 12:00,23,32,구름많음
0,2021-07-19 00:00,23,31,구름많음
0,2021-07-19 12:00,23,31,흐림
0,2021-07-20 00:00,24,32,흐림
0,2021-07-21 00:00,24,33,흐림
0,2021-07-22 00:00,23,33,흐림
0,2021-07-15 00:00,25,32,구름많음
0,2021-07-15 12:00,25,32,구름많음
0,2021-07-16 00:00,24,32,구름많음
0,2021-07-16 12:00,24,32,구름많고 소나기
0,2021-07-17 00:00,24,31,구름많음
0,2021-07-17 12:00,24,31,구름많음
0,2021-07-18 00:00,24,32,구름많음
0,2021-07-18 12:00,24,32,구름많음
0,2021-07-19 00:00,24,31,구름많음
0,2021-07-19 12:00,24,31,흐림
0,2021-07-20 00:00,25,33,흐림
0,2021-07-21 00:00,25,34,흐림
0,2021-07-22 00:00,25,34,흐림
0,2021-07-15 00:00,23,30,구름많음
0,2021-07-15 12:00,23,30,구름많음
0,2021-07-16 00:00,23,29,구름많음
0,2021-07-16 12:00,23,29,구름많고 소나기
0,2021-07-17 00:00,23,29,구름많음
0,2021-07-17 12:00,23,29,구름많음
0,2021-07-18 00:00,22,30,구름많음
0,2021-07-18 12:00,22,30,구름많음
0,2021-07-19 00:00,23,28,구름많음
0,2021-07-19 12:00,23,28,흐림
0,2021-07-20 00:00,22,29,흐림
0,2021-07-21 00:00,22,29,흐림
0,2021-07-22 00:00,23,30,흐림
0,2021-07-15 00:00,25,31,구름많음
0,2021-07-15 12:00,25,31,구름많음
0,2021-07-16 00:00,24,31,구름많음
0,2021-07-16 12:00,24,31,구름많고 소나기
0,2021-07-17 00:00,23,31,구름많음
0,2021-07-17 12:00,23,31,구름많음
0,2021-07-18 00:00,24,31,구름많음
0,2021-07-18 12:00,24,31,구름많음
0,2021-07-19 00:00,24,31,구름많음
0,2021-07-19 12:00,24,31,흐림
0,2021-07-20 00:00,25,32,흐림
0,2021-07-21 00:00,25,32,흐림
0,2021-07-22 00:00,24,32,흐림
0,2021-07-15 00:00,24,32,구름많음
0,2021-07-15 12:00,24,32,구름많음
0,2021-07-16 00:00,23,30,구름많음
0,2021-07-16 12:00,23,30,구름많고 소나기
0,2021-07-17 00:00,23,31,구름많음
0,2021-07-17 12:00,23,31,구름많음
0,2021-07-18 00:00,23,32,구름많음
0,2021-07-18 12:00,23,32,구름많음
0,2021-07-19 00:00,24,30,구름많음
0,2021-07-19 12:00,24,30,흐림
0,2021-07-20 00:00,24,33,흐림
0,2021-07-21 00:00,24,32,흐림
0,2021-07-22 00:00,24,32,흐림
0,2021-07-15 00:00,24,33,구름많음
0,2021-07-15 12:00,24,33,구름많음
0,2021-07-16 00:00,24,32,구름많음
0,2021-07-16 12:00,24,32,구름많고 소나기
0,2021-07-17 00:00,24,32,구름많음
0,2021-07-17 12:00,24,32,구름많음
0,2021-07-18 00:00,23,33,구름많음
0,2021-07-18 12:00,23,33,구름많음
0,2021-07-19 00:00,24,31,구름많음
0,2021-07-19 12:00,24,31,흐림
0,2021-07-20 00:00,24,34,흐림
0,2021-07-21 00:00,24,33,흐림
0,2021-07-22 00:00,24,34,흐림
0,2021-07-15 00:00,24,31,구름많음
0,2021-07-15 12:00,24,31,구름많음
0,2021-07-16 00:00,24,30,구름많음
0,2021-07-16 12:00,24,30,구름많고 소나기
0,2021-07-17 00:00,23,29,구름많음
0,2021-07-17 12:00,23,29,구름많음
0,2021-07-18 00:00,23,31,구름많음
0,2021-07-18 12:00,23,31,구름많음
0,2021-07-19 00:00,24,31,구름많음
0,2021-07-19 12:00,24,31,흐림
0,2021-07-20 00:00,24,32,흐림
0,2021-07-21 00:00,24,32,흐림
0,2021-07-22 00:00,24,32,흐림
0,2021-07-15 00:00,23,31,구름많음
0,2021-07-15 12:00,23,31,구름많음
0,2021-07-16 00:00,23,30,구름많음
0,2021-07-16 12:00,23,30,구름많고 소나기
0,2021-07-17 00:00,24,30,구름많음
0,2021-07-17 12:00,24,30,구름많음
0,2021-07-18 00:00,22,31,구름많음
0,2021-07-18 12:00,22,31,구름많음
0,2021-07-19 00:00,23,30,구름많음
0,2021-07-19 12:00,23,30,흐림
0,2021-07-20 00:00,23,32,흐림
0,2021-07-21 00:00,24,32,흐림
0,2021-07-22 00:00,24,32,흐림
0,2021-07-15 00:00,23,32,구름많음
0,2021-07-15 12:00,23,32,구름많음
0,2021-07-16 00:00,23,32,구름많음
0,2021-07-16 12:00,23,32,구름많고 소나기
0,2021-07-17 00:00,22,31,구름많음
0,2021-07-17 12:00,22,31,구름많음
0,2021-07-18 00:00,22,32,구름많음
0,2021-07-18 12:00,22,32,구름많음
0,2021-07-19 00:00,23,31,구름많음
0,2021-07-19 12:00,23,31,흐림
0,2021-07-20 00:00,24,33,흐림
0,2021-07-21 00:00,23,34,흐림
0,2021-07-22 00:00,23,34,흐림
0,2021-07-15 00:00,23,31,구름많음
0,2021-07-15 12:00,23,31,구름많음
0,2021-07-16 00:00,23,31,구름많음
0,2021-07-16 12:00,23,31,구름많고 소나기
0,2021-07-17 00:00,22,30,구름많음
0,2021-07-17 12:00,22,30,구름많음
0,2021-07-18 00:00,22,31,구름많음
0,2021-07-18 12:00,22,31,구름많음
0,2021-07-19 00:00,23,30,구름많음
0,2021-07-19 12:00,23,30,흐림
0,2021-07-20 00:00,23,32,흐림
0,2021-07-21 00:00,24,32,흐림
0,2021-07-22 00:00,23,31,흐림
0,2021-07-15 00:00,23,31,구름많음
0,2021-07-15 12:00,23,31,구름많음
0,2021-07-16 00:00,23,31,구름많음
0,2021-07-16 12:00,23,31,구름많고 소나기
0,2021-07-17 00:00,22,31,구름많음
0,2021-07-17 12:00,22,31,구름많음
0,2021-07-18 00:00,22,31,구름많음
0,2021-07-18 12:00,22,31,구름많음
0,2021-07-19 00:00,23,31,구름많음
0,2021-07-19 12:00,23,31,흐림
0,2021-07-20 00:00,23,32,흐림
0,2021-07-21 00:00,23,32,흐림
0,2021-07-22 00:00,23,32,흐림
0,2021-07-15 00:00,22,31,구름많음
0,2021-07-15 12:00,22,31,구름많음
0,2021-07-16 00:00,22,31,구름많음
0,2021-07-16 12:00,22,31,구름많고 소나기
0,2021-07-17 00:00,21,31,구름많음
0,2021-07-17 12:00,21,31,구름많음
0,2021-07-18 00:00,21,31,구름많음
0,2021-07-18 12:00,21,31,구름많음
0,2021-07-19 00:00,22,31,구름많음
0,2021-07-19 12:00,22,31,흐림
0,2021-07-20 00:00,22,32,흐림
0,2021-07-21 00:00,23,32,흐림
0,2021-07-22 00:00,23,34,흐림
0,2021-07-15 00:00,23,31,구름많음
0,2021-07-15 12:00,23,31,구름많음
0,2021-07-16 00:00,23,31,구름많음
0,2021-07-16 12:00,23,31,구름많고 소나기
0,2021-07-17 00:00,22,30,구름많음
0,2021-07-17 12:00,22,30,구름많음
0,2021-07-18 00:00,22,31,구름많음
0,2021-07-18 12:00,22,31,구름많음
0,2021-07-19 00:00,23,30,구름많음
0,2021-07-19 12:00,23,30,흐림
0,2021-07-20 00:00,23,32,흐림
0,2021-07-21 00:00,23,32,흐림
0,2021-07-22 00:00,23,33,흐림
0,2021-07-15 00:00,23,34,구름많음
0,2021-07-15 12:00,23,34,구름많음
0,2021-07-16 00:00,22,33,구름많음
0,2021-07-16 12:00,22,33,구름많고 소나기
0,2021-07-17 00:00,22,32,구름많음
0,2021-07-17 12:00,22,32,구름많음
0,2021-07-18 00:00,22,32,구름많음
0,2021-07-18 12:00,22,32,구름많음
0,2021-07-19 00:00,22,31,구름많음
0,2021-07-19 12:00,22,31,흐림
0,2021-07-20 00:00,23,32,흐림
